order_id,order_date,employee_id,revenue_usd,cost_usd,is_chargeback
1,9/1/2025,1001,502.85,409.91,TRUE
2,9/1/2025,1001,314.97,229.2,FALSE
3,9/1/2025,1001,302.54,207.06,FALSE
4,9/1/2025,1001,315.3,214.66,FALSE
5,9/2/2025,1001,236.83,199.63,FALSE
6,9/3/2025,1001,518.48,343.72,FALSE
7,9/3/2025,1001,221.3,134.82,FALSE
8,9/3/2025,1001,230.89,167.55,FALSE
9,9/4/2025,1001,407.33,268.79,FALSE
10,9/4/2025,1001,318.92,230.38,FALSE
11,9/4/2025,1001,442.08,349.42,FALSE
12,9/4/2025,1001,212.02,165.81,FALSE
13,9/5/2025,1001,518.62,380.64,FALSE
14,9/5/2025,1001,517.08,418.23,FALSE
15,9/5/2025,1001,554.79,335.17,FALSE
16,9/6/2025,1001,454.83,298.65,FALSE
17,9/6/2025,1001,414.36,288.68,FALSE
18,9/7/2025,1001,240.24,152.4,FALSE
19,9/7/2025,1001,307.19,235,FALSE
20,9/7/2025,1001,416.73,307.88,FALSE
21,9/7/2025,1001,311.06,256.41,FALSE
22,9/8/2025,1001,325.3,246.67,FALSE
23,9/8/2025,1001,505.93,417.03,FALSE
24,9/9/2025,1001,245.94,195.51,FALSE
25,9/10/2025,1001,377.15,227.16,FALSE
26,9/10/2025,1001,451.69,345.94,TRUE
27,9/10/2025,1001,370.98,286.76,FALSE
28,9/10/2025,1001,203.98,133.82,FALSE
29,9/11/2025,1001,259.86,204.41,FALSE
30,9/11/2025,1001,214.35,174.12,FALSE
31,9/11/2025,1001,245.88,170.13,FALSE
32,9/12/2025,1001,367.5,242.92,FALSE
33,9/12/2025,1001,455.44,345.13,FALSE
34,9/13/2025,1001,321.25,233.12,FALSE
35,9/13/2025,1001,181.23,141.47,FALSE
36,9/13/2025,1001,345.86,209.62,FALSE
37,9/13/2025,1001,335.1,282.04,FALSE
38,9/14/2025,1001,438.84,356.89,FALSE
39,9/14/2025,1001,475.47,322.95,FALSE
40,9/14/2025,1001,308.94,228.37,FALSE
41,9/14/2025,1001,425.61,265.71,FALSE
42,9/14/2025,1001,561.55,475.92,FALSE
43,9/14/2025,1001,476.89,374.45,FALSE
44,9/14/2025,1001,356.16,276.25,FALSE
45,9/15/2025,1001,458.61,368.05,FALSE
46,9/16/2025,1001,277.53,229.88,FALSE
47,9/16/2025,1001,522.48,398.39,FALSE
48,9/16/2025,1001,350.88,280.33,FALSE
49,9/16/2025,1001,211.69,131.99,FALSE
50,9/17/2025,1001,169.91,103.47,FALSE
51,9/17/2025,1001,135.38,101.22,FALSE
52,9/17/2025,1001,392.88,239.4,FALSE
53,9/18/2025,1001,242.83,177.4,FALSE
54,9/18/2025,1001,309.82,202.61,FALSE
55,9/18/2025,1001,636.68,483.47,FALSE
56,9/19/2025,1001,571.21,482.08,FALSE
57,9/19/2025,1001,475.76,317.67,FALSE
58,9/19/2025,1001,274.57,170.13,TRUE
59,9/19/2025,1001,257.38,165.58,FALSE
60,9/20/2025,1001,549.36,363.98,FALSE
61,9/20/2025,1001,463.45,310.5,FALSE
62,9/20/2025,1001,501.97,393.78,FALSE
63,9/21/2025,1001,190.78,126.28,FALSE
64,9/22/2025,1001,571.25,450.98,TRUE
65,9/22/2025,1001,321.51,200.77,FALSE
66,9/22/2025,1001,574.64,412.8,FALSE
67,9/22/2025,1001,110.6,83.39,FALSE
68,9/22/2025,1001,193.98,118.59,FALSE
69,9/23/2025,1001,357.02,290.66,FALSE
70,9/23/2025,1001,631.76,404.79,FALSE
71,9/23/2025,1001,325.71,243.12,FALSE
72,9/23/2025,1001,357.31,265.79,FALSE
73,9/23/2025,1001,276.18,203.38,FALSE
74,9/24/2025,1001,603.36,420.26,FALSE
75,9/24/2025,1001,291.63,198.23,FALSE
76,9/25/2025,1001,374.91,227.13,FALSE
77,9/26/2025,1001,275.33,213.16,FALSE
78,9/26/2025,1001,307.34,251.82,FALSE
79,9/26/2025,1001,274.44,176.84,FALSE
80,9/26/2025,1001,455.21,364.95,FALSE
81,9/27/2025,1001,135.48,107.59,FALSE
82,9/27/2025,1001,203.53,169.48,FALSE
83,9/27/2025,1001,536.34,422.98,FALSE
84,9/28/2025,1001,297.26,245.43,FALSE
85,9/28/2025,1001,287.22,236.64,FALSE
86,9/28/2025,1001,463.9,279.6,FALSE
87,9/28/2025,1001,317.48,265.89,FALSE
88,9/29/2025,1001,276.43,205.49,FALSE
89,9/29/2025,1001,134.95,92.06,FALSE
90,9/29/2025,1001,296.39,233.58,FALSE
